nom_editeur;adresse;code_postal;ville;departement;url_site_web;annee_creation;diffusion;distribution;nombre_titre_catalogue;nombre_publication;domaines_editoriaux;presence_salon_du_livre_paris_2014;racine_isbn;siret_ou_siren;id;wgs84
ÉDITIONS À VUE D'OEIL;27 avenue de la Constellation;95800;CERGY-PONTOISE;95;www.avuedoeil.fr;1997;Auto-diffusion;Auto-distribution;912;50;"Littérature langue française ; Loisirs, vie pratique, tourisme  ; Policier ; Tous genres";Non;84666;41373116700032;IF76_043_7826056478;49.0520995,2.0317414
ÉDITIONS LE LIVRE QUI PARLE;29 rue Descartes;78801;HOUILLES;78;www.lelivrequiparle.com;1986;Pollen littéral;Pollen littéral;165;12;"Littérature langue française ; Livre jeunesse";Non;12;39868345800010;IF76_043_7826056559;48.9176272,2.195899
HUGO & CIE - UNE MAISON D'ÉDITEURS;38 rue la Condamine;75017;PARIS;75;www.hugoetcie.fr;2005;Interforum;Interforum;1600;200;"Arts (livres) ; Livre jeunesse ; Loisirs, vie pratique, tourisme  ; Roman, nouvelle ; Tous genres";Non;7556;;IF76_043_7826056871;48.8865879,2.3225612
ÉDITIONS MOUCK;7 rue Guy Patin;75010;PARIS;75;www.editionsmouck.fr;2007;CED Cedif;Dilisco;33;6;Livre jeunesse;Non;917442;49913746100012;IF76_043_7826057501;48.8830264,2.3508621
BAMBOO ÉDITION;8 rue Voltaire;93100;MONTREUIL;93;www.bamboo.fr;1997;Delsol;Hachette;1725;110;Bande dessinée;Non;35078;41447067400030;IF11_043_9091906020;48.854635,2.4201241
PAYOT & RIVAGES ÉDITIONS;106 boulevard Saint-Germain;75006;PARIS;75;www.payot-rivages.fr;1912;Hachette;Hachette;2300;70;"Documents, actualités, essais ; Histoire  ; Littérature langue étrangère ; Littérature langue française ; Policier ; Religion  ; Sciences humaines et sociales";Non;228;;IF76_043_7826055422;48.8523249,2.338717
ÉDITIONS DE LA VILLETTE;144 avenue de Flandre;75019;PARIS;75;www.paris-lavillette.archi.fr/editions;1981;Volumen;Volumen;163;5;Arts (livres);Non;903539;19751875600014;IF76_043_7826055812;48.8934879,2.3812082
HENRY LEMOINE ÉDITIONS;27 boulevard Beaumarchais;75004;PARIS;75;www.henry-lemoine.com;1772;Daudin;Daudin;778;150;"Arts (livres) ; Loisirs, vie pratique, tourisme";Non;902527;54208521200067;IF76_043_7826056484;48.8556005,2.3678345
SEPIA ÉDITIONS;6 avenue du Gouverneur-Général Binger;94100;SAINT-MAUR-DES-FOSSÉS;94;www.editions-sepia.com;1986;CED Cedif;Les Belles Lettres;287;20;"Beaux-arts ; Géographie  ; Histoire  ; Littérature langue française ; Livre jeunesse ; Tous genres";Non;84280;;IF76_043_7826057282;48.8073065,2.4871837
PICTORUS ÉDITIONS;141-143 rue Raymond Losserand;75014;PARIS;75;www.pictorus.info;2001;DG diffusion;DG diffusion;24;3;"Livre jeunesse ; Religion/ésotérisme";Non;9518463;;IF76_043_7826057738;48.8311912,2.3137915
LE LAMANTIN;83 rue Edouard Vaillant;92700;COLOMBES;92;www.lelamantin.fr;2008;;;16;2;;Non;9531779;;IF76_043_8826315370;48.9150986,2.233717
ÉDITIONS LIANA LEVI;1 place Paul Painlevé;75005;PARIS;75;www.lianalevi.fr;1982;le CDE;Sodis;550;30;"Essai, analyse, critique  ; Histoire  ; Littérature langue française ; Tous genres";Non;86746;;IF76_043_7826055269;48.8502751,2.3445563
ÉDITIONS DU BOUT DE LA RUE;1 rue Marcelin Berthelot;92170;VANVES;92;www.editionduboutdelarue.fr;2005;Auto-diffusion;Auto-distribution;144;15;Livre jeunesse;Non;9521468;49514489100019;IF76_043_7826055323;48.8249529,2.28741
ÉDITIONS DE L'ÉCOLE DES HAUTES ÉTUDES EN SCIENCES SOCIALES;131 boulevard Saint-Michel;75005;PARIS;75;www.editions.ehess.fr;1959;le CDE;Sodis;670;25;Sciences humaines et sociales;Non;7132;;IF76_043_7826055728;48.8420658,2.3384843
BACHARI;51 boulevard de la Chapelle;75010;PARIS;75;www.editionsbachari.com;2004;CED Cedif;Daudin;63;10;"Essai, analyse, critique  ; Roman, nouvelle ; Tous genres";Non;913678;45219823700011;IF76_043_7826057168;48.8836107,2.3504412
THOMAS JEUNESSE (grandir avec les livres);6 bis passage Dareau;75014;PARIS;75;www.thomasjeunesse.com;2007;Interforum;Interforum;192;20;Livre jeunesse;Non;35481;49460764100011;IF76_043_7854189457;48.8307664,2.3355497
LES MOTS MAGIQUES;37 rue des Vignerons;94300;VINCENNES;94;;2010;CED Cedif;Daudin;35;5;"Livre jeunesse ; Poésie";Non;36285;;IF76_043_8735620400;48.8426352,2.4310844
ELENYA ÉDITIONS;Appartement 245 - 6 rue Pablo Neruda;92300;LEVALLOIS-PERRET;92;www.elenya-editions.com;2013;;Auto-distribution;12;;Littérature langue française;Non;;79307947600016;ADIF_043_10655690070;48.8937774,2.3005951
LE NOUVEL ATTILA;127 avenue Parmentier;75011;PARIS;75;www.lenouvelattila.fr;2007;Interforum;Interforum;72;10;"Arts (livres) ; Littérature langue étrangère ; Littérature langue française";Oui;9788470;;IF06_043_11375195480;48.8691826,2.3713277
ÉDITIONS DES RONDS DANS L'O;112 avenue de Paris;94300;VINCENNES;94;www.desrondsdanslo.com;2005;Interforum;Interforum;82;13;"Bande dessinée ; Littérature langue française ; Livre jeunesse";Non;917235;47829526400012;IF76_043_7826055518;48.8458447,2.4263438
ÉDITION SILLAGE;17 rue Linné;75005;PARIS;75;www.editions-sillage.com;2002;Auto-diffusion;Auto-distribution;111;9;"Roman, nouvelle ; Roman, nouvelle (littérature étrangère)";Non;518624;52056444400013;IF76_043_7826057810;48.8449184,2.3547206
NOUVELLES ÉDITIONS WOMBAT;3 rue Simart;75018;PARIS;75;www.nouvelles-editions-wombat.fr;2010;Harmonia Mundi;Harmonia Mundi;24;7;"Bande dessinée ; Littérature langue étrangère ; Roman, nouvelle";Oui;919186;;IF76_043_8813431300;48.8897082,2.3489719
ÉDITIONS MAGNANI;45 rue de la Chine;75020;PARIS;75;www.editions-magnani.com;2011;Les Belles Lettres;Les Belles Lettres;10;4;"Bande dessinée alternative ; Littérature langue française ; Livre jeunesse";Oui;9539817;;ADIF_043_9789648160;48.8688872,2.3969441
L'ŒIL DU SOUFFLEUR;7 boulevard du Temple;75003;PARIS;75;www.oeildusouffleur.com;2009;Auto-diffusion;Auto-distribution;12;3;Théâtre;Non;918519;51278907400014;ADIF_043_9832733320;48.8635046,2.3664796
SINIG ÉDITEUR;12 rue Robert Legros;93100;MONTREUIL;93;www.sinig.fr;2010;;;2;;;Non;90132;;IF06_043_10530624500;48.8588974,2.4652339
BLEU NUIT ÉDITEUR;30 rue Grégoire de Tours;75006;PARIS;75;www.bne.fr;1999;DG diffusion;DG diffusion;98;;Musique;Non;35884;;IF11_043_9091954290;48.8524444,2.3374085
BEAUX-ARTS DE PARIS - LES ÉDITIONS;14 rue Bonaparte;75006;PARIS;75;www.ensba.fr;1984;Actes sud;UD;200;25;Arts (livres);Non;84056;;IF76_043_7826055755;48.856601,2.3345901
ÉDITION PPT - PLOUM PLOUM TRALALA;3 rue Riboutté;75009;PARIS;75;www.e-ppt.net;2008;r-diffusion;Auto-distribution;5;1;Arts (livres);Non;9517606;41806979500015;IF76_043_7826056649;48.8762311,2.3462786
LES QUATRE CHEMINS ÉDITIONS;4 rue Jules Chaplain;75006;PARIS;75;www.4chemins.net;2003;Volumen;Volumen;40;4;"Cuisine, gastronomie et vins  ; Documents, actualités, essais ; Sport";Non;84784;;IF76_043_7826056682;48.8431775,2.3307681
ÉDITIONS L'ÂGE D'HOMME;5 rue Férou;75006;PARIS;75;www.lagedhomme.com;1985;Volumen;Volumen;3293;49;"Essai, analyse, critique  ; Littérature langue étrangère";Non;8251;33298894800011;IF76_043_7826057138;48.8500727,2.334297
PEETERS FRANCE ÉDITIONS;52 boulevard Saint-Michel;75006;PARIS;75;;1984;;;5000;15;"Religion/ésotérisme  ; Sciences humaines et sociales";Non;87723;;IF76_043_7826057180;48.8483388,2.3412339
LES ÉDITIONS BOUCHÈNE;113-115 rue Danielle Casanova;93200;SAINT-DENIS;93;www.bouchene.com;1997;Auto-diffusion;Auto-distribution;114;10;"Arts (livres) ; Histoire  ; Poésie (littérature étrangère) ; Roman contemporain (littérature étrangère) ; Roman, nouvelle ; Sciences humaines et sociales";Non;35676;;IF76_043_7826055530;48.9241839,2.3686468
ÉDITIONS H&D;13 chemin du Vivier;78470;MILON-LA-CHAPELLE;78;www.editionshetd.com;2000;Soleils;Soleils;16;3;Sciences humaines et sociales;Non;914266;42966423800012;IF76_043_7826055686;48.728569,2.0568824
ÉDITIONS RUE D'ULM;École normale supérieure - 45 rue d'Ulm;75005;PARIS;75;www.presses.ens.fr;1975;Les Belles Lettres;Les Belles Lettres;362;20;Sciences humaines et sociales;Non;7288;;IF76_043_7826057039;48.8422058,2.3451689
JEAN PICOLLEC ÉDITIONS;47 rue Auguste Lançon;75013;PARIS;75;www.jeanpicollec.com;1979;CED Cedif;Dilisco;244;11;"Histoire  ; Littérature langue française ; Sciences humaines et sociales  ; Sciences politiques";Non;86477;;IF76_043_7826057057;48.822645,2.3442567
LA FABRIQUE ÉDITIONS;64 rue Rébeval;75019;PARIS;75;www.lafabrique.fr;1999;Les Belles Lettres;Les Belles Lettres;120;12;"Philosophie  ; Sciences humaines et sociales  ; Sociologie";Non;35872;;IF76_043_7826057396;48.8745582,2.3808416
ÉDITIONS DU MUSEUM NATIONAL D'HISTOIRE NATURELLE;Case postale 41 - 57 rue Cuvier;75005;PARIS;75;www.mnhn.fr;1802;;Auto-distribution;1200;21;Sciences et techniques, médecine et gestion (livre);Non;85653;;IF76_043_7826057915;48.843955,2.356646
ELLEBORE ÉDITIONS;4 rue d'Alésia;75012;PARIS;75;www.ellebore.fr;1981;DG diffusion;DG diffusion;345;20;Loisirs, vie pratique, tourisme;Non;86898;;IF76_043_7830379987;48.8274706,2.3359176
QUELLE HISTOIRE;15 avenue de Villiers;75017;PARIS;75;www.quellehistoire.org;2012;Auto-diffusion;Auto-distribution;18;4;Livre jeunesse;Non;9541773;;Serv_043_10685937701;48.8816196,2.3136376
MAX MILO ÉDITIONS;46 voie CI 18 immeuble Paris Région Innovation Nord Express;75892;PARIS;75;www.maxmilo.com;2000;Interforum;Interforum;259;30;"Documents, actualités, essais ; Humour ; Livre jeunesse ; Tous genres";Non;914388;;IF76_043_7826056760;48.893954,2.354913
DIS VOIR ÉDITIONS;1 cité Riverin;75010;PARIS;75;www.disvoir.com;1986;Actes sud;UD;135;10;Arts (livres);Non;906571;;IF76_043_7826055251;48.8699078,2.3579673
QUIDAM ÉDITEUR;5 rue Mansart;92190;MEUDON;92;www.quidamediteur.com;2002;Auto-diffusion;Auto-distribution;75;6;"Littérature langue étrangère ; Littérature langue française";Oui;915018;;IF76_043_7826055320;48.8195063,2.2261208
L'ŒIL NEUF - BÉHAR ÉDITIONS;94 rue de l'Amiral Mouchez;75014;PARIS;75;www.jcbehareditions.com;2004;CED Cedif;Les Belles Lettres;44;5;"Culture ; Histoire  ; Philosophie  ; Tous genres";Non;915543;45158452800017;IF76_043_7826057852;48.8202161,2.3432243
LE TRIPODE;16 rue Charlemagne;75004;PARIS;75;www.le-tripode.net;2013;Seuil;Volumen;33;12;"Arts (livres) ; Roman, nouvelle";Non;37055;;IF76_043_8206281050;48.8544085,2.3600435
LES ÉDITIONS DE LA TRANSPARENCE;8 avenue des Pommerots;78400;CHATOU;78;editionsdelatransparence.com;2004;Les Belles Lettres;Les Belles Lettres;64;6;"Cinéma et audiovisuel  ; Sciences humaines et sociales";Non;35051;47790452800015;IF11_043_9091984380;48.8828235,2.1523681
ÉDITIONS JACOB-DUVERNET;134 rue du Bac;75007;PARIS;75;www.editionsjd.com;1998;Interforum;Interforum;350;26;"Arts (livres) ; Cinéma et audiovisuel  ; Histoire  ; Politique  ; Religion  ; Santé, bien-être et vie de famille  ; Sport  ; Tourisme";Non;84724;;IF76_043_7826055731;48.8513518,2.3232182
ÉDITIONS JURIDIQUES ET TECHNIQUES;73 boulevard de Clichy;75009;PARIS;75;www.editions-ejt.com;1947;Auto-diffusion;Auto-distribution;36;10;Droit;Non;910326;;IF76_043_7826057558;48.8839374,2.3310976
ÉDITIONS BARON PERCHÉ;30 rue Jacob;75006;PARIS;75;www.editionslebaronperche.com;2004;CED Cedif;Sodis;80;20;Livre jeunesse;Non;355131;;IF76_043_7830379492;48.8555355,2.3344677
ÉDITIONS BALEINE;11 rue Muller;75018;PARIS;75;www.editionsbaleine.fr;1995;Volumen;Volumen;460;25;"Policier ; Roman, nouvelle";Non;84219;50535379700028;IF76_043_7830379849;48.8865788,2.346147
CÈDRE LUNE;63 Rue de l'Ourcq;75019;PARIS;75;www.cedrelune.fr;2013;;Interforum;50;;Livre jeunesse;Non;37005;;IF09_043_10653530030;48.8916514,2.3796659
ATLANDE;1 boulevard du Château;92200;NEUILLY-SUR-SEINE;92;;1996;Belin;Belin;300;30;"Arts (livres) ; Carte géographique et atlas ; Encyclopédies et dictionnaires ; Parascolaire  ; Sciences et techniques, médecine et gestion (livre ; Sciences humaines et sociales  ; Tous genres";Non;912232;;IF76_043_7826055242;48.8876537,2.2637809
BERG INTERNATIONAL;129 boulevard Saint-Michel;75005;PARIS;75;www.berg-international.com;1969;les PUF;UD;243;20;"Histoire  ; Littérature langue française ; Livre jeunesse ; Religion  ; Sciences humaines et sociales  ; Tous genres";Non;900269;;IF76_043_7826055671;48.8422738,2.3384465
FERYANE;24 bis rue Rémilly;78000;VERSAILLES;78;www.feryane.fr;1991;Auto-diffusion;Auto-distribution;300;65;Littérature langue française;Non;36360;;IF76_043_7826056364;48.8113391,2.1378654
L'INVENTAIRE;37 rue Pascal;75013;PARIS;75;www.editions-linventaire.com;1993;Actes sud;UD;107;3;"Documents, actualités, essais ; Poésie ; Roman, nouvelle ; Tous genres";Non;35597;39238865800016;IF76_043_7826056394;48.8364766,2.3488047
ÉDITIONS SARBACANE;35 rue d'Hauteville;75010;PARIS;75;www.editions-sarbacane.com;2003;Flammarion;UD;732;71;Livre jeunesse;Non;84865;;IF76_043_7826056799;48.873549,2.350052
À VOS PAGES - ÉDITEUR;Espace media Techno parc - 3 rue Gustave Eiffel;78300;POISSY;78;www.avospages.com;2011;;Pollen littéral;17;6;Documents, actualités, essais;Non;;52809930200010;ADIF_043_10092091580;48.946658,2.064108
LE LAVOIR SAINT MARTIN;4 villa des Gobelins;75013;PARIS;75;;2011;;Libr'est;13;5;Littérature langue française;Non;919749;;IF11_043_9126565200;48.8337834,2.3531693
ALTIPRESSE ÉDITEUR;150 rue Aristide Briand;92300;LEVALLOIS-PERRET;92;www.altipresse.com;1996;Volumen;Volumen;112;6;"Roman, nouvelle ; Transport";Non;911218;41761465800033;IF76_043_7826055899;48.8958003,2.2969963
ÉDITIONS PERSÉE;29 rue Bassano;75008;PARIS;75;www.editions-persee.fr;2006;Hachette;Hachette;768;16;"Documents, actualités, essais ; Littérature langue française";Non;8231;;IF76_043_7826056838;48.8704492,2.2988764
PEARSON ÉDUCATION FRANCE;15 rue Henri Rol Tanguy;93100;MONTREUIL;93;www.pearson.fr;1995;Auto-diffusion;MDS;600;180;"Sciences et techniques, médecine et gestion (livre) ; Sciences humaines et sociales";Non;744;;IF76_043_7826057048;48.8504745,2.422258
ÉDITIONS DES CENDRES;8 rue des Cendriers;75020;PARIS;75;www.lescendres.com;1982;Auto-diffusion;Auto-distribution;220;8;"Arts graphiques ; Histoire  ; Littérature langue française";Oui;86742;;IF76_043_7826057606;48.8652632,2.3860241
SYMBIO ÉDITIONS;19 rue Royale;78000;VERSAILLES;78;;;DG diffusion;DG diffusion;;5;"Arts (livres) ; Document, reportage  ; Documents, actualités, essais ; Littérature langue française ; Religion/ésotérisme  ; Sciences humaines et sociales  ; Spiritualité";Non;916710;;IF76_043_7826057909;48.7982049,2.1274873
ÉDITIONS ARTENA;12 rue Feutrier;75018;PARIS;75;www.artena.fr;2004;CED Cedif;Daudin;22;;"Arts (livres) ; Loisirs, vie pratique, tourisme  ; Régionalisme  ; Roman, nouvelle ; Tous genres";Non;35154;47957382600019;IF76_043_7826055275;48.8864805,2.3468486
ÉDITIONS AL MANAR;96 boulevard Maurice Barrès;92200;NEUILLY-SUR-SEINE;92;www.editmanar.com;1998;Auto-diffusion;Auto-distribution;210;25;"Arts (livres) ; Littérature langue étrangère (Maghreb et Méditerranée) ; Littérature langue française (Maghreb et Méditerranée)";Oui;36426;;IF76_043_7826056844;48.8802084,2.2636284
LE THÉ DES ÉCRIVAINS ÉDITIONS;38 rue de Turenne;75003;PARIS;75;www.thedesecrivains.com;2003;Interforum;Interforum;7;4;"Livre jeunesse ; Littérature langue française";Non;915265;;IF76_043_7826056850;48.8575812,2.3649947
ÉDITIONS DILECTA;4 rue de Capri;75012;PARIS;75;www.editions-dilecta.com;2005;Les Belles Lettres;Les Belles Lettres;200;15;Arts (livres);Oui;916275;;IF76_043_7826056919;48.8355322,2.3983055
TRIARTIS;48 rue du Fer à Moulin;75005;PARIS;75;www.triartis.fr;2004;Auto-diffusion;Arcadia;56;9;Théâtre;Non;916724;47757983300013;IF76_043_7826057078;48.8387538,2.3514465
LA PIONNIÈRE;6 rue Paul Saunière;75016;PARIS;75;www.lapionniere.com;1989;Auto-diffusion;Auto-distribution;60;6;Arts (livres);Non;908092;50063391200026;IF76_043_7826057483;48.8592341,2.2800992
ÉDITEUR KANJIL;2 rue des Fossés Saint-Jacques;75005;PARIS;75;www.kanjil.com;2005;Auto-diffusion;Daudin;16;3;Roman, nouvelle;Non;916046;48067608900018;IF76_043_7854189418;48.8459771,2.343181
IPREDIS ÉDITION;Le Pavillon - 64 rue des Rondeaux;75020;PARIS;75;www.ipredis.com;1990;Auto-diffusion;Libr'est;32;2;"Loisirs, vie pratique, tourisme  ; Médecine  ; Santé, bien-être et vie de famille";Non;908502;;IF76_043_7826057390;48.864012,2.397032
FARIO;26 rue Daubigny;75017;PARIS;75;www.editionsfario.fr;2009;Les Belles Lettres;Les Belles Lettres;17;2;Littérature langue française;Non;9525224;;ADIF_043_10215173350;48.8859481,2.3078971
LE SQUARE ÉDITEUR;3 square Alice;75014;PARIS;75;www.lesquare-editeur.fr;2013;CED Cedif;Daudin;12;4;"Document, reportage  ; Essai, analyse, critique  ; Livre  jeunesse ; Sciences humaines et sociales";Non;92217;;IF06_043_10530521960;48.8266627,2.3141645
H'ARTPON ÉDITIONS;42 boulevard Saint-Marcel;75005;PARIS;75;www.hartpon-editions.com;2011;Auto-diffusion;Auto-distribution;5;3;"Arts (livres) ; Photographie";Oui;9534901;;IF06_043_11290750190;48.8387771,2.3571116
ÉDITIONS DE LA LOUPE;10 rue du Colisée;75008;PARIS;75;www.editionsdelaloupe.com;2002;Auto-diffusion;Auto-distribution;520;50;"Documents, actualités, essais ; Roman, nouvelle";Non;84868;44202415400019;IF76_043_7826055353;48.8706384,2.3080192
PRÉSENCE ÉDITIONS;23 rue de Fleurus;75006;PARIS;75;www.soleils-diffusion.com;1969;Soleils;Soleils;45;1;"Arts (livres) ; Philosophie  ; Religion/ésotérisme  ; Spiritualité";Non;901696;;IF76_043_7826056322;48.8468965,2.3296856
TRANSVERSALES;59 boulevard d'Auteuil;92100;BOULOGNE-BILLANCOURT;92;www.transversales-editions.com;2004;Auto-diffusion;Auto-distribution;25;;Roman, nouvelle;Non;915798;45189730000013;IF76_043_7826057273;48.8472818,2.2433474
LE SÉMAPHORE ÉDITIONS;128 rue de Belleville;75020;PARIS;75;www.lesemaphore.fr;1996;Auto-diffusion;Auto-distribution;45;3;"Documents, actualités, essais ; Histoire  ; Mémoire, témoignage, biographie (documents) ; Roman, nouvelle";Non;912283;;IF76_043_7830379894;48.8746257,2.3886757
ÉDITIONS COSMOPOLE;17 rue Pascal;75005;PARIS;75;www.editionscosmopole.com;2000;Daudin;Daudin;40;10;Mémoire, témoignage, biographie (littérature);Non;84630;;IF06_043_10575763050;48.8380181,2.349615
ÉDITIONS ÇÀ ET LÀ;6 rue Jean-Baptistevacher;77600;BUSSY-SAINT-GEORGES;77;www.caetla.fr;2005;Les Belles Lettres;Les Belles Lettres;90;15;Bande dessinée;Oui;916207;;IF76_043_7854189403;48.8428707,2.706684
DE VIVE VOIX;47 rue Meslay;75003;PARIS;75;www.devivevoix.fr;2000;Belin;Belin;95;5;"Histoire  ; Littérature langue française ; Sciences et techniques, médecine et gestion (livre ; Tous genres";Non;84684;43353725500039;IF76_043_8214854390;48.8681144,2.3579077
TABOU;BP 14;91490;MILLY-LA-FORET;91;www.tabou-editions.com;2005;CED Cedif;Dilisco;170;17;Bande dessinée;Non;915635;;IF76_043_7990315390;48.419196,2.477036
UPBLISHER ÉDITEUR;11 bis rue de Moscou;75008;PARIS;75;www.upblisher.com;;;;;;Tous genres;Non;7599;;ADIF_043_10158964470;48.8804104,2.3252759
CARNETS NORD;12 villa Coeur-de-Vey;75014;PARIS;75;www.carnetsnord.fr;2007;le CDE;Sodis;44;12;"Documents, actualités, essais ; Roman, nouvelle";Non;35536;;IF76_043_7826055614;48.830505,2.3272804
NOUVELLES ÉDITIONS LATINES;6 rue de Vaugirard;75006;PARIS;75;www.editions-nel.com;1928;Auto-diffusion;Auto-distribution;1331;10;"Histoire  ; Littérature langue française ; Religion  ; Tourisme  ; Tous genres";Non;7233;32433531400021;IF76_043_7826057321;48.8491493,2.3399243
ANNE CARRIÈRE;39 rue des Mathurins;75008;PARIS;75;www.anne-carriere.fr;2099;Interforum;Interforum;430;35;"Essai, analyse, critique  ; Policier ; Psychologie  ; Roman, nouvelle ; Tous genres";Non;84337;;IF76_043_7826057645;48.8731688,2.3244178
VIVIANE HAMY ÉDITEUR;89 rue du Faubourg Saint-Antoine;75011;PARIS;75;www.viviane-hamy.fr;1990;Seuil;Volumen;245;11;"Essai, analyse, critique  ; Littérature langue française";Non;87858;;IF76_043_7826057720;48.852009,2.3752999
ÉDITIONS CARTOUCHE;82 boulevard du Port-Royal;75005;PARIS;75;www.cartouche-editions.com;2004;CED Cedif;Les Belles Lettres;86;5;"Documents, actualités, essais ; Roman, nouvelle";Non;915842;;IF76_043_7826057834;48.8389513,2.3402067
ALAIN BEAULET ÉDITEUR;28 rue des Prés Hauts;92290;CHATENAY-MALABRY;92;www.alainbeaulet.com;1984;Makassar;Makassar;90;3;Livre jeunesse;Non;905231;33098331300017;IF76_043_7854189394;48.7692516,2.2775242
ÉDITIONS JONGLEZ;17 boulevard du Roi;78000;VERSAILLES;78;www.editionsjonglez.com;2003;Michelin Cartes et Guides;MDS;50;5;"Littérature langue étrangère ; Littérature langue française ; Tourisme";Non;36195;44773758600027;IF11_043_9092072840;48.8114371,2.1256886
INSTITUT OCÉANOGRAPHIQUE ÉDITION;195 rue Saint-Jacques;75005;PARIS;75;www.oceano.org;1906;Auto-diffusion;Auto-distribution;10;3;Documents, actualités, essais;Non;903581;;IF76_043_7826056094;48.8444286,2.3422209
CASSINI ÉDITEURS;27 rue Gay Lussac;75005;PARIS;75;www.cassini.fr;1995;Magnard;Dilisco;70;10;"Enseignement  ; Sciences et techniques, médecine et gestion (livre";Non;84225;;IF76_043_7826056343;48.8447622,2.3419888
ÉDITIONS L'ICONOCLASTE;27 rue Jacob;75006;PARIS;75;www.editions-iconoclaste.fr;1998;CDE;Sodis;50;10;"Arts (livres) ; Documents, actualités, essais";Non;913366;;IF76_043_7826056631;48.8553177,2.3343662
ABSTÈME & BOBANCE ÉDITEURS;5 rue Lalande;75014;PARIS;75;www.abedit.com;2000;Auto-diffusion;Auto-distribution;20;2;"Arts (livres) ; Essai, analyse, critique (littérature générale étr ; Littérature langue française ; Poésie";Non;914490;;IF76_043_7826056793;48.8347453,2.3290208
NOV'ÉDIT - EDITIONS DE LODI;ZAC CAP 18 - Allée F - Bâtiment B - 73 rue de l'Evangile;75018;PARIS;75;www.edionslito.com;2001;Dilisco;Dilisco;150;12;"Arts (livres) ; Livre jeunesse";Non;84690;;IF76_043_7826056532;48.895428,2.370315
ÉDITIONS DE PARIS;13 rue Saint-Honoré;78000;VERSAILLES;78;www.editions-de-paris.com;1923;;;257;15;"Histoire  ; Livre jeunesse ; Religion  ; Tous genres";Non;85162;;IF76_043_7826055710;48.7981961,2.1250484
ÉDILIVRE;56 rue de londres;75008;PARIS;75;www.edilivre.com;2007;Auto-diffusion;Auto-distribution;750;300;Roman, nouvelle;Non;8121;;IF76_043_7826057234;48.8785155,2.3249502
PIPPA - PELTIER INTERNATIONAL PUBLISHING & PRODUCTION AGENCY;25 rue du Sommerard;75005;PARIS;75;www.pippa.fr;2006;GEODIF;Arcadia;60;7;Livre jeunesse;Non;916506;48793113100022;IF76_043_7845711431;48.8502229,2.3451942
MAURICE NADEAU ÉDITIONS;135 rue Saint-Martin;75004;PARIS;75;www.quinzaine.litteraire.presse.fr;1979;Harmonia Mundi;Harmonia Mundi;200;8;Littérature langue française;Non;86231;31531113400029;IF76_043_7854189703;48.8612721,2.3511114
À VERSE;9 rue Bonnevin Carré;77130;MONTEREAU-FAULT-YONNE;77;www.a-verse.org;2012;Auto-diffusion;Auto-distribution;2;2;Poésie;Non;9537417;;ADIF_043_10336035360;48.3824448,2.9496266
LE VER À SOIE;63 rue de Paris;94220;CHARENTON-LE-PONT;94;www.leverasoie.com;2011;Auto-diffusion;Auto-distribution;6;4;"Essai, analyse, critique  ; Tourisme";Oui;92364;;IF06_043_10530577750;48.8203694,2.4150102
LE DILETTANTE ÉDITIONS;19 rue Racine;75006;PARIS;75;www.ledilettante.com;1976;Auto-diffusion;UD;334;15;Littérature langue française;Non;84263;;IF76_043_7826056088;48.8499311,2.3399803
L'ÉPURE ÉDITIONS;25 rue de la Sablière;75014;PARIS;75;www.epure-editions.com;1991;Les Belles Lettres;Les Belles Lettres;350;16;"Beaux-arts ; Loisirs, vie pratique, tourisme";Non;907687;;IF76_043_7826056418;48.8317374,2.3227303
ÉDITIONS INFRAROUGE;7 rue du Capitaine Ferber;75020;PARIS;75;www.editionsinfrarouge.com;1996;Auto-diffusion;Auto-distribution;50;3;"Documents, actualités, essais ; Humour ; Littérature langue étrangère ; Littérature langue française ; Sciences humaines et sociales  ; Théâtre";Non;908614;;IF76_043_7826057492;48.8654811,2.4050756
LE JARDIN D'ESSAI;7 square Dunois;75646;PARIS;75;jardindessai.free.fr;1996;Auto-diffusion;Auto-distribution;48;5;Littérature langue française;Non;911822;41251853200012;IF76_043_7826057522;48.8336438,2.3661497
L'ARCHE ÉDITEUR;86 rue Bonaparte;75006;PARIS;75;www.arche-editeur.com;1949;Auto-diffusion;Auto-distribution;700;30;"Essai, analyse, critique  ; Théâtre";Non;85181;;IF76_043_7826057696;48.8495508,2.3324725
NOUVELLES ÉDITIONS SCALA;5 rue du Sommerard;75005;PARIS;75;www.editions-scala.fr;2004;Sodis;;240;15;Arts (livres);Non;35988;51251692300020;IF76_043_9018530520;48.8497423,2.3473184
PHILIPPE REY ÉDITIONS;7 rue Rougemont;75009;PARIS;75;www.philippe-rey.fr;2002;Seuil;Volumen;263;25;"Arts (livres) ; Document, reportage  ; Littérature langue française";Non;84876;;IF76_043_7826055851;48.8717158,2.3456369
ÉDITIONS EPEL;110 boulevard Raspail;75006;PARIS;75;www.epel-edition.com;1990;Tothèmes;Sodis;142;9;Sciences humaines et sociales;Oui;908855;;IF76_043_7826056565;48.844978,2.3283674
PICCOLIA;5 rue d'Alembert;91240;SAINT-MICHEL-SUR-ORGE;91;www.editions-piccolia.fr;1991;Charpentier diffusion sobodi;Charpentier diffusion sobodi;2904;279;Livre jeunesse;Non;75300;38077173300041;IF76_043_7826057120;48.6208945,2.3297157
