nom_editeur;adresse;code_postal;ville;departement;url_site_web;annee_creation;diffusion;distribution;nombre_titre_catalogue;nombre_publication;domaines_editoriaux;presence_salon_du_livre_paris_2014;racine_isbn;siret_ou_siren;id;wgs84
BRUMES DE MARS ÉDITEUR;16 rue Jean Moulin;78500;SARTROUVILLE;78;www.brumesdemars.jimdo.com;2003;CED Cedif;Les Belles Lettres;27;2;"Ouvrage de documentation  ; Roman, nouvelle";Non;915169;44366907200011;IF76_043_7826055950;48.9353491,2.1656384
LES CONTREBANDIERS ÉDITEURS;52 rue Broca;75005;PARIS;75;www.lescontrebandiersediteurs.com;2003;CDE;Sodis;54;5;"Documents, actualités, essais ; Littérature langue française";Non;915438;;IF76_043_7826057186;48.8375883,2.346939
TOLÈGE ÉDITIONS;90 rue Daguerre;75014;PARIS;75;;2006;DG diffusion;DG diffusion;3;1;Policier;Non;916643;;IF76_043_7826057816;48.8360233,2.3244703
ISAN MANGA;10 rue Jean Rostand;91300;MASSY;91;www.isan-manga.com;2011;Makassar;Makassar;9;4;Manga;Non;36768;;Serv_043_10394333547;48.7369249,2.2579157
SERGE SAFRAN ÉDITEUR;Village Saint-Paul - 17 rue Saint-Paul;75004;PARIS;75;www.sergesafranediteur.fr;2012;Seuil;Volumen;25;8;"Littérature langue étrangère ; Littérature langue française";Oui;;;ADIF_043_9113656750;48.8533329,2.36106
L'AGRUME ÉDITIONS;102 rue Saint-Maur;75011;PARIS;75;www.lagrume.org;2011;Les Belles Lettres;Les Belles Lettres;18;6;"Bande dessinée ; Livre jeunesse";Oui;90743;;IF06_043_11064135340;48.8660423,2.3772588
MAEGHT ÉDITIONS;12 rue Carvès;92120;MONTROUGE;92;www.maeght.com;1947;Auto-diffusion;Auto-distribution;1000;5;"Arts (livres) ; Cinéma et audiovisuel  ; Livre jeunesse";Non;86941;;IF76_043_7826055560;48.8118699,2.3251119
MÉMOIRE VIVANTE;12 rue Lacuée;75012;PARIS;75;www.memoirevivante.over-blog.fr;2006;Auto-diffusion;Auto-distribution;72;2;"Littérature langue française ; Poésie (littérature étrangère)";Non;903011;;IF76_043_7826055605;48.8493491,2.3695205
L'ALTIPLANO;36 rue du Capitaine Dreyfus;93100;MONTREUIL;93;www.laltiplano.fr;2007;Court-circuit;Court-circuit;20;;"Bande dessinée ; Documents, actualités, essais ; Livre jeunesse ; Roman, nouvelle ; Tous genres";Non;35346;;IF76_043_7826056814;48.8588456,2.4392777
DITTMAR;371 rue des Pyrénées;75020;PARIS;75;www.dittmar.editions.free.fr;2006;Auto-diffusion;Auto-distribution;41;2;Sciences humaines et sociales;Non;916294;30565081400018;IF76_043_7826056835;48.8731171,2.389942
PARDES ÉDITIONS;44 rue Wilson;77880;GREZ-SUR-LOING;77;;1982;Auto-diffusion;Auto-distribution;460;17;"Religion/ésotérisme  ; Sciences humaines et sociales";Non;86714;;IF76_043_7826057027;48.313772,2.6861579
LE VOYAGEUR ÉDITIONS;115 rue de l'Abbé Groult;75015;PARIS;75;www.lveditions.com;2010;L'Harmattan;L'Harmattan;23;3;Documents, actualités, essais;Non;36214;52019427500027;IF76_043_8826177650;48.8370782,2.3006547
ÉDITIONS GANG;101 rue Victor Hugo;94200;IVRY-SUR-SEINE;94;www.editions-gang.com;2010;Auto-diffusion;Auto-distribution;8;3;Photographie;Oui;918376;;IF76_043_8826302640;48.8176996,2.3823244
ÉDITIONS iXe;28 boulevard du Nord;77520;DONNEMARIE-DONTILLY;77;www.editions-ixe.fr;2011;Auto-diffusion;L'Harmattan;17;5;"Mémoire, témoignage, biographie (littérature) ; Sciences humaines et sociales";Oui;90062;;ADIF_043_9115809180;48.4798808,3.1325526
AKÉLA ÉDITIONS;15 rue Preschez;92210;SAINT-CLOUD;92;www.akela-editions.fr;2013;;Pollen littéral;2;;;Non;9545415;75038779700012;IF06_043_10543364200;48.8446489,2.2108575
MICHEL HOUDIARD;11 rue Monticelli;75014;PARIS;75;www.michelhoudiardediteur.net;2001;Arcadia;Arcadia;165;12;"Essai, analyse, critique  ; Sciences humaines et sociales";Non;912673;;IF76_043_7826055494;48.8215478,2.3289488
ÉDITONS TURQUOISE;12 rue Anatole France;92300;LEVALLOIS-PERRET;92;www.editions-turquoise.com;2000;Auto-diffusion;Auto-distribution;15;4;"Roman, nouvelle ; Sciences humaines et sociales";Non;9514448;40325858500021;IF76_043_7826055617;48.8885591,2.2885551
PSN (LES PRESSES DE LA SORBONNE NOUVELLE);13 rue Santeuil;75005;PARIS;75;psn.univ-paris3.fr;1984;CID;CID;614;27;"Littérature langue française ; Sciences humaines et sociales  ; Tous genres";Non;87854;;IF76_043_7826055713;48.8400625,2.354342
RECHERCHES ÉDITIONS;17 impasse Mousset;75012;PARIS;75;www.editions-recherches.com;1977;Auto-diffusion;Daudin;80;6;"Architecture ; Arts (livres) ; Environnement  ; Histoire  ; Urbanisme";Non;86222;31153346700057;IF76_043_7826055983;48.8454298,2.3909009
MYRIAM SOLAL ÉDITIONS;3 boulevard Morland;75004;PARIS;75;;1994;Auto-diffusion;Auto-distribution;21;1;"Arts (livres) ; Littérature langue française ; Photographie ; Poésie";Non;910796;;IF76_043_7826056589;48.8477097,2.3648611
ÉDITIONS BERTRAND LACOSTE;36 rue Saint-Germain l'Auxerrois;75001;PARIS;75;www.bertrand-lacoste.fr;1980;Auto-diffusion;Auto-distribution;600;50;Scolaire;Non;7352;;IF76_043_7826056820;48.8587401,2.3439753
ÉDITIONS INTERFÉRENCES;4 rue César Franck;75015;PARIS;75;www.editions-interferences.com;1986;Belin;Belin;25;2;"Littérature langue étrangère ; Littérature langue française";Oui;909589;;IF76_043_7826056910;48.8475747,2.3101205
CAMPIONI ÉDITIONS PRODUCTIONS;95 boulevard Romain Rolland;92120;MONTROUGE;92;;2010;Auto-diffusion;Auto-distribution;7;2;Littérature langue française;Non;9536365;52018863200019;IF76_043_8826173010;48.8213142,2.3183439
SÉMIOSE ÉDITIONS;54 rue Chapon;75003;PARIS;75;www.semiose.com;2002;Auto-diffusion;Les Belles Lettres;52;5;Arts (livres);Non;915199;44281386100022;IF11_043_9111396810;48.8641904,2.3538931
ASSOULINE;35 rue Bonaparte;75006;PARIS;75;www.assouline.com;1993;Interforum;Interforum;400;20;Arts (livres);Non;908228;;IF76_043_7826056805;48.8548084,2.333777
ÉDITIONS BLANCHE;38 rue la Condamine;75017;PARIS;75;www.hugoetcie.fr/Editions-Blanche;1996;Interforum;Interforum;250;30;"Loisirs, vie pratique, tourisme  ; Roman, nouvelle";Non;84628;;IF76_043_7826056865;48.8865879,2.3225612
ÉDITIONS DE LA MAISON DES SCIENCES DE L'HOMME;18 rue Robert Schuman;94220;CHARENTON-LE-PONT;94;www.editions.msh-paris.fr;1975;AFPU;Sodis;1100;40;Sciences humaines et sociales;Non;7351;77566410500019;IF76_043_7826057204;48.819197,2.4113462
VOIX NAVIGABLES;7 bis quai du saule fleuri;93450;L'ILE-SAINT-DENIS;93;www.voixnavigables.eu;2009;Auto-diffusion;Auto-distribution;15;;Arts (livres);Non;913768;;IF76_043_7826057588;48.9392992,2.3367059
NOUVEAU MONDE ÉDITIONS;21 Square Saint-Charles;75012;PARIS;75;www.nouveau-monde.net;2000;;;584;60;Sciences humaines et sociales générales;Non;84736;;IF11_043_9675264790;48.8463145,2.3893325
THÉLÈME ÉDITIONS;10 rue de Pontoise;75005;PARIS;75;www.editionstheleme.com;1989;Auto-diffusion;Volumen;279;50;"Littérature langue française ; Livre jeunesse ; Poésie";Non;87862;;IF76_043_7826055350;48.8500881,2.3520513
