code_int;ext_arrete_covid;etablissement;adresse;geopoint;domaine_activite;terrasse_sur_stationnement;terrasse_ouverte;terrasse_fermee;extension_terrasse;terrasse_marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/11311.pdf;;SUBWAY;7 Esplanade Compans Caffarelli 31000 TOULOUSE;43.610726,1.435186;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/11396.pdf;;L'EPICURIEN;47 Rue de Metz 31000 TOULOUSE;43.600597,1.451365;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/11447.pdf;;BIG HALLAL;10 Place Intérieure Saint Cyprien 31300 TOULOUSE;43.59785,1.432271;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/11562.pdf;;MELTING POT;26 Boulevard de Strasbourg 31000 TOULOUSE;43.607527,1.447097;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/11594.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/11594_COVID.pdf;LE COMMERCE;5 Place Dominique Martin Dupuy 31000 TOULOUSE;43.600231,1.45389;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/11617.pdf;;LE CARTHAGE;69 Boulevard de Strasbourg 31000 TOULOUSE;43.610072,1.443746;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/11665.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/11665_COVID.pdf;SNACK PECHEUR DE SABLE;Quai de la Daurade 31000 TOULOUSE;43.600656,1.439512;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/11694.pdf;;EMILE;13 Place Saint Georges 31000 TOULOUSE;43.602229,1.447237;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/11711.pdf;;AU PETIT BONHEUR;20 Rue des Filatiers 31000 TOULOUSE;43.598529,1.444226;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/11809.pdf;;LE POP'IN;2 Avenue de Castres 31500 TOULOUSE;43.600629,1.468145;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/11821.pdf;;L'ALEXANDRIE;20 Place Arnaud Bernard 31000 TOULOUSE;43.610611,1.439564;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/11890.pdf;;LA COURONNE AVEYRONNAISE;70 Avenue Albert Bedouce 31400 TOULOUSE;43.579073,1.459313;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/11894.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/11894_COVID.pdf;LA CANTINA DU BUSCA;8 Place du Busca 31400 TOULOUSE;43.588192,1.450845;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/12248.pdf;;LE BISTRONOMIQUE;73 Route de Revel 31400 TOULOUSE;43.574105,1.491073;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/12283.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/12283_COVID.pdf;RESTAURANT HAOZAI;10 Rue Denfert Rochereau 31000 TOULOUSE;43.60764,1.448517;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/12298.pdf;;LE BISTROT D'ERIC;42 Port Saint Etienne 31000 TOULOUSE;43.600733,1.456722;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/12512.pdf;;LE BLACK PEARL;26 Boulevard Pierre-Paul Riquet 31000 TOULOUSE;43.606468,1.455725;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/12693.pdf;;LE PROGRES;185 Route de Bayonne 31300 TOULOUSE;43.608469,1.379301;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/12811.pdf;;PERLETTE;2 Place de la Bourse 31000 TOULOUSE;43.601508,1.442364;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/12854.pdf;https://eu.ftp.opendatasoft.com/toulouse-metropole/terrasses/12854_COVID.pdf;LE DAHU;10 Rue des Blanchers 31000 TOULOUSE;43.602319,1.438209;Terrasse;Sans terrasse sur stationnement;Terrasse ouverte;Sans terrasse fermée;Sans extension terrasse;Sans terrasse marquise
